"Date","Tank","Treatment","Period1","Period2","Period3","Salinity","Temperature","pH","CO2","pCO2","HCO3","CO3","DIC","TA","Aragonite.Sat"
20140505,"Tank3","High","Adult","","",35.3,26.4,7.7651526554394,21.9903055035025,805.787505234342,1874.53857577643,125.117027473304,2021.64590875324,2184.43344642691,1.99486924903272
20140505,"Tank4","Ambient","Adult","","",35.3,26.07,8.05273896732603,9.62507534305846,349.836780182273,1581.03670709919,202.171310522925,1792.83309296517,2088.24482987535,3.21827295246351
20140508,"Tank4","Ambient","Adult","","",35,27.13,8.13602795070331,7.65994364486696,285.281082291632,1551.18178563905,248.043136286368,1806.88486557028,2168.43472798831,3.97748698883726
20140508,"Tank4","Ambient","Adult","","",35.1,26.92,8.12380976592874,7.97727610669032,295.741287404272,1565.75146196434,242.128897228996,1815.85763530003,2168.43472798831,3.87584650219279
20140512,"Tank4","Ambient","Adult","","",34.7,26.05,8.04783949276043,9.97525079276323,361.266307703818,1611.76846108493,200.858348871849,1822.60206074954,2113.13972090242,3.21007028657239
20140512,"Tank5","High","Adult","","",34.8,26.06,7.65360320177103,28.8416233942385,1045.33535457388,1881.913094874,94.8659485627495,2005.62066683099,2117.76346414098,1.51519179983178
20140515,"Tank4","Ambient","Adult","","",33.4,25.3,7.91826934485324,15.0430564898833,531.128902154247,1758.28995356965,153.451036173472,1926.784046233,2138.020726586,2.46336646301435
20140515,"Tank5","High","Adult","","",33.5,25.26,7.68725978298962,27.5718412607376,973.013589248101,1893.478985772,97.1681428792086,2018.21896991194,2133.74438108675,1.55862105329734
20140519,"Tank4","Ambient","Adult","","",33.4,26.48,7.9495155072084,13.4711965083955,489.789129195906,1730.49118521074,169.444569848887,1913.40695156802,2149.16664267228,2.73637458887054
20140519,"Tank5","High","Adult","","",33.5,26.67,7.55273057140642,37.877954435246,1384.32596785868,1960.19982675446,77.6982370824052,2075.77601827211,2151.6199011058,1.25522565704999
20140522,"Tank4","Ambient","Adult","","",33.5,26.25,7.94660328931447,13.6673645494916,494.36802608459,1737.94306764394,168.022866845368,1919.6332990388,2153.16481830324,2.70855833060496
20140522,"Tank5","High","Adult","","",33.5,26.19,7.69629935626196,26.5533457408367,959.051591113269,1895.2779812476,102.742638807654,2024.57396579609,2148.7838810605,1.65572209685571
20140527,"Tank4","Ambient","Adult","","",33.5,26.57,7.97631882191561,12.2866732667902,447.940261708545,1683.142723078,176.294044296137,1871.72344064093,2120.20644380248,2.84657606305969
20140527,"Tank5","High","Adult","","",33.5,26.81,7.58103140182854,34.616607710891,1269.4722395543,1917.07043011116,81.519941234041,2033.20697905609,2118.51413391157,1.31792817608746
20140529,"Tank4","Ambient","Adult","","",33.5,28.58,8.11493964055246,8.00493764754105,306.307114024179,1565.83922081081,242.74827204294,1816.59243050129,2165.86252103549,3.96233924942759
20140529,"Tank5","High","Adult","","",33.6,28.63,7.69198114269623,25.4134753981837,974.081747172308,1880.48170225061,110.543191319861,2016.43836896866,2152.71837640741,1.8037179012568
20140602,"Tank4","Ambient","Adult","","",34,26.58,7.94776073440478,13.4223198592486,490.720442348917,1729.52661000809,171.696869450974,1914.64579931831,2154.54407402423,2.76383713618193
20140602,"Tank5","High","Adult","","",34,26.58,7.66864209852978,28.4083085839069,1038.61072699078,1924.98081377727,100.494639776251,2053.88376213742,2172.74620946742,1.61768131410303
20140605,"Tank4","Ambient","Adult","","",34,26.36,7.9617975421612,13.0659867087473,475.118734053979,1731.72668577476,176.143955870276,1920.93662835378,2167.3601648933,2.83225174739688
20140605,"Tank5","High","Adult","","",34.1,26.31,7.73504503377248,23.9841798139897,871.513495664332,1885.69066830184,113.849484537863,2023.5243326537,2166.82533577323,1.82898237964938
20140609,"Tank4","Ambient","Adult","","",34.1,26.41,7.91424435130849,14.9099994714236,543.119033506037,1774.36185557275,162.437511936545,1951.70936698072,2175.73573995103,2.61086262180049
20140609,"Tank5","High","Adult","","",34.1,26.45,7.90380066423691,15.3213101872187,558.65054107442,1781.32922934778,159.432966440302,1956.0835059753,2175.24557401555,2.56308950604703
20140609,"Tank5","High","Adult","","",34.1,26.49,7.75712232221931,22.6352395589383,826.145249205311,1878.80710471942,120.135443283549,2021.57778756191,2175.24557401555,1.93172322928319
20140612,"Tank4","Ambient","Adult","","",34,26.4,7.87058837600236,16.7672585877259,610.308756480512,1802.67638667787,148.843757221683,1968.28740248728,2170.34611699137,2.39377185782405
20140612,"Tank5","High","Adult","","",34.1,26.45,7.72380877798301,24.7812373940964,903.582579117429,1903.61619475507,112.569681455958,2040.96711360512,2181.18064156123,1.80970206903137
20140616,"Tank4","Ambient","Adult","","",34,26.55,7.99545897055202,11.9513243009145,436.619470105422,1717.78588773992,190.119895738235,1919.85710777907,2187.26197174898,3.05992729719825
20140616,"Tank5","High","Adult","","",33.8,26.5,7.90678374222009,15.2005798966043,554.075144067992,1776.56272766327,159.269188359502,1951.03249591937,2169.80629457166,2.56597624766268
20140619,"Tank4","Ambient","Adult","","",33.8,26.36,7.98460708608982,12.284669454411,446.248576354145,1713.01540534111,182.77577779415,1908.07585258967,2164.90539276462,2.94258475287875
20140619,"Tank5","High","Adult","","",33.9,26.33,7.71057013428263,25.6005717844962,929.75013607851,1899.9410651439,107.995749700929,2033.53738662933,2166.3819473091,1.73731585349543
20140623,"Tank4","Ambient","Adult","","",33.5,26.34,7.9948812381007,11.7930020002837,427.517510631983,1678.77208739448,181.98212304096,1872.54721243572,2129.68581209497,2.93493687016704
20140623,"Tank5","High","Adult","","",33.6,26.37,7.72707804727158,24.7055828411063,896.746327634123,1901.02449565415,111.615605322804,2037.34568381806,2175.87538982204,1.7992673544918
20140626,"Tank4","Ambient","Adult","","",33.9,27.22,8.05760745245513,9.50813396834265,352.89946784347,1595.35837057372,208.274233112003,1813.14073765407,2113.31283772065,3.36592456797627
20140626,"Tank5","High","Adult","","",33.9,27.14,7.79485625396094,19.6845554391893,729.188639283608,1800.91102435974,128.013446816603,1948.60902661553,2118.14647940813,2.06795913182773
20140630,"Tank4","Ambient","Adult","","",33.7,26.93,7.85204294034831,17.4737741026781,643.339436296633,1813.3774395937,145.236678415095,1976.08789211147,2171.49548629687,2.34658351990539
20140630,"Tank5","High","Adult","","",33.7,26.6,7.66824854194192,28.6415488463063,1046.040265924,1934.73001722617,100.2756773561,2063.64724342858,2181.48609838838,1.61737609485859
20140703,"Tank4","Ambient","Adult","","",34.2,27.16,7.90271949281185,14.8409664764448,550.873469138969,1745.68712511387,160.309576669908,1920.83766826022,2142.92683398918,2.58492266181225
20140703,"Tank5","High","Adult","","",34.2,27.22,7.64723766730913,28.9046710589368,1074.45827443959,1890.05382990702,96.590058892278,2015.54855985824,2129.14836016147,1.55795988601979
20140707,"Tank4","Ambient","Adult","","",33.3,26.93,7.872525992296,16.2386809768277,596.644411334936,1760.35660098928,146.404614276696,1922.99989624281,2122.47582288017,2.3713171496793
20140707,"Tank5","High","Adult","","",33.3,26.93,7.66091196446883,28.352978445337,1041.75168635624,1888.14161044174,96.4660835812104,2012.96067246828,2126.2630263484,1.56246221807049
20140710,"Tank4","Ambient","Adult","","",33.8,27.74,8.04805644153738,9.85535993624765,370.21121195283,1631.83807334545,211.874624337901,1853.5680576196,2156.2051806638,3.4358112422761
20140710,"Tank5","High","Adult","","",33.9,27.63,7.73404498587044,23.2152147276518,870.210713443354,1863.21638182381,117.20407673787,2003.63567328933,2152.49420842566,1.89826145201135
20140714,"Tank4","Ambient","Adult","Month1","Month6",34.3,27.5,7.92618235152023,13.7983425792574,516.658816489615,1725.41648175851,169.717034572962,1908.93185891073,2146.04608950175,2.73967892484126
20140714,"Tank5","High","Adult","Month1","Month6",34.1,27.47,7.75879545648709,21.7584705963176,813.298453991084,1846.43054638675,122.822399018275,1991.01141600135,2149.97264039056,1.98497906605648
20140717,"Tank4","Ambient","Adult","Month1","Month6",33.9,26.81,7.95771515201785,13.0299284708411,478.816384204417,1723.83443464297,176.158733562215,1913.02309667603,2159.51490936298,2.84082242240115
20140717,"Tank5","High","Adult","Month1","Month6",34.1,26.89,7.77885403672123,21.0096927548974,774.352847547617,1847.16531055966,125.995188820808,1994.17019213536,2158.49151056337,2.03009723394651
20140722,"Tank4","Ambient","Adult","Month1","Month6",33,27.1,7.90492756330604,14.6442677384445,539.465836995875,1711.27324878064,153.19656290267,1879.11407942176,2090.94160503753,2.48808215091971
20140722,"Tank5","High","Adult","Month1","Month6",33.2,27.08,7.7153934095255,24.3232290470475,896.500491641852,1839.76756913211,106.885581075769,1970.97637925492,2104.1132880463,1.73366175646385
20140724,"Tank4","Ambient","Adult","Month1","Month6",33.2,26.72,7.91453500423116,14.4992253331629,529.735621565746,1723.0934374032,156.284937811773,1893.87760054813,2110.15308782574,2.53008008673009
20140724,"Tank5","High","Adult","Month1","Month6",33.2,26.5,7.66729038922844,27.8204827838833,1010.96461607842,1863.32984101297,94.879425584027,1986.02974938088,2098.14894778344,1.53422497538504
20140728,"Tank4","Ambient","Adult","Month1","Month6",33.7,27.11,7.87296070817146,16.2785208698429,601.962413353945,1778.64943663174,150.46636981372,1945.3943273153,2150.4033886825,2.43337687496555
20140728,"Tank5","High","Adult","Month1","Month6",33.6,27.08,7.88493577848464,15.735709137016,581.169068718034,1764.87631090041,152.946246180483,1933.55826621791,2142.92018944423,2.47464502897585
20140731,"Tank4","Ambient","Adult","Month1","Month6",34,27.26,7.88558360603289,15.5468191024999,577.8825977919,1758.23178622884,155.052917112095,1928.83152244343,2142.07870392936,2.50472663125583
20140731,"Tank5","High","Adult","Month1","Month6",33.9,27.23,7.61567823613909,32.2267479676697,1196.40625126776,1954.92813460747,92.2861826714403,2079.44106524658,2181.98591337451,1.491517550768
20140804,"Tank4","Ambient","Adult","Month1","Month6",34.2,27.33,7.83810684601254,17.9089459318811,667.4917907595,1821.08703797899,145.008579210457,1984.00456312133,2178.95054227595,2.34027710066092
20140804,"Tank5","High","Adult","Month1","Month6",34.2,27.36,7.60310096901231,33.0811967595704,1233.87902836392,1959.1926225507,90.909117343572,2083.18293665384,2183.04342396346,1.46740276526656
20140815,"Tank4","Ambient","Adult","Month1","Month6",34.1,27.42,7.90285274705605,14.6632428908226,547.428988967239,1732.17138642127,160.252367535342,1907.08699684744,2129.55118438482,2.5892154036281
20140815,"Tank5","High","Adult","Month1","Month6",34.1,27.3,7.65380756026079,28.2406159323074,1051.27055904078,1875.96877131956,97.3870899759613,2001.59647722783,2117.20806200353,1.57250108375541
20140828,"Tank4","Ambient","","","Month6",34.2,26.84,7.89538658806623,15.4247859980317,568.10826900466,1773.37550535235,158.272624092828,1947.07291544321,2164.81963751846,2.54785953139205
20140828,"Tank5","High","","","Month6",34.2,26.89,7.64642288371677,29.4426379257828,1085.7219625783,1909.85463005973,96.2569353895051,2035.55420337502,2147.78316048009,1.54993447054571
20140903,"Tank4","Ambient","","","Month6",33.7,28.06,7.9248815535638,13.7967738471265,521.984535948726,1728.91195275306,170.612627723316,1913.3213543235,2150.45399703722,2.77329395690566
20140903,"Tank5","High","","","Month6",33.9,28.16,7.63476795831322,29.4786307113702,1119.08225025986,1900.78961036718,96.9785680845112,2027.24680916306,2140.13510994788,1.57519037833072
20140915,"Tank4","Ambient","","","Month6",33.3,28.36,7.8714634283066,15.6833947798657,596.403739909326,1741.21501150552,152.149082217338,1909.04748850273,2117.3971921646,2.48360926757897
20140915,"Tank5","High","","","Month6",33.5,28.5,7.70662319139621,24.2346294764918,925.583228303883,1848.76368315936,111.614019139069,1984.61233177492,2124.2990860732,1.82104052452302
20141014,"Tank4","Ambient","","","Month6",33.8,27.86,7.94657033544148,12.9349360844378,487.292726438431,1699.17652035632,175.405503949928,1887.51696039069,2133.57440205854,2.84626245157206
20141014,"Tank5","High","","","Month6",33.8,27.69,7.70327672564921,24.7382349213945,928.165983849936,1850.09767878356,108.400047282025,1983.23596098698,2118.3040216152,1.7573690615307
20141022,"Tank4","Ambient","","","Month6",34,27.67,7.97146746806223,11.8428708907459,444.575939405884,1644.60989638196,179.396527551412,1835.84929482412,2091.25286982327,2.90427523025472
20141022,"Tank5","High","","","Month6",34,27.93,7.5627161715571,35.0107267307811,1322.49862149836,1906.01589178833,81.8877728002523,2022.91439131936,2108.70873153078,1.32754446531505
20141201,"Tank4","Ambient","","","Month6",32.9,23.34,8.28514271706971,5.57580437155102,186.738396904759,1452.95506729193,271.321781176961,1729.85265284044,2127.00693657491,4.32735599383709
20141201,"Tank5","High","","","Month6",32.6,23.59,7.91265413827494,16.0218788447827,539.23836614603,1774.74382986026,140.848886961349,1931.61459566639,2123.10044158476,2.25262959183925
20141218,"Tank4","Ambient","","","Month6",34.7,24.19,8.38091509281452,3.89949979814907,134.76742847588,1308.6968945013,327.9988022319,1640.59519653135,2131.23677815851,5.19638575480401
20141218,"Tank5","High","","","Month6",34.8,24.1,8.05113703985397,10.5083501481268,362.524059779593,1648.81128320827,193.19119840614,1852.51083176254,2130.94946060272,3.05748560818641
