"Sample.ID","Mass","TA.Mes"
"20140505_CRM.csv","20140505_CRM","100.22","2231.14681828358"
"20140505_Tank3.csv","20140505_Tank3","99.96","2176.75385226865"
"20140505_Tank4.csv","20140505_Tank4","99.63","2080.53058108639"
"20140505_Tank5.csv","20140505_Tank5","100.02","2136.17625248776"
"20140508_CRM1.csv","20140508_CRM1","98.78","2242.38847523949"
"20140508_CRM2.csv","20140508_CRM2","99.28","2214.14341595354"
"20140508_Tank4.csv","20140508_Tank4","99.89","2177.29383439238"
"20140508_Tank5.csv","20140508_Tank5","99.21","2172.00232245784"
"20140512_CRM1.csv","20140512_CRM1","100.05","2204.03912509256"
"20140512_CRM2.csv","20140512_CRM2","99.81","2210.05671453408"
"20140512_Tank4.csv","20140512_Tank4","99.43","2125.83381897043"
"20140512_Tank5.csv","20140512_Tank5","99.41","2130.68631260714"
"20140515_CRM1.csv","20140515_CRM1","100.01","2218.23437919661"
"20140515_CRM2.csv","20140515_CRM2","99.43","2214.93406468426"
"20140515_Tank4.csv","20140515_Tank4","100.63","2151.5490626743"
"20140515_Tank5.csv","20140515_Tank5","99.58","2147.29122906269"
"20140519_CRM1.csv","20140519_CRM1","99.32","2226.72163997152"
"20140519_CRM2.csv","20140519_CRM2","100","2222.32298918626"
"20140519_Tank4.csv","20140519_Tank4","100.46","2154.30062606396"
"20140519_Tank5.csv","20140519_Tank5","100.62","2156.7252156335"
"20140522_CRM1.csv","20140522_CRM1","99.26","2218.56666446991"
"20140522_CRM2.csv","20140522_CRM2","100.43","2217.60105432898"
"20140522_Tank4.csv","20140522_Tank4","100.58","2159.41014160895"
"20140522_Tank5.csv","20140522_Tank5","100.53","2155.03956490796"
"20140527_CRM1.csv","20140527_CRM1","100.37","2201.4173303866"
"20140527_CRM2.csv","20140527_CRM2","99.93","2208.08637107529"
"20140527_Tank4.csv","20140527_Tank4","99.97","2137.10471588401"
"20140527_Tank5.csv","20140527_Tank5","99.65","2135.36961449313"
"20140529_CRM1.csv","20140529_CRM1","99.76","2219.43252394623"
"20140529_CRM2..csv","20140529_CRM2","100.27","2230.6749943335"
"20140529_Tank4.csv","20140529_Tank4","100.16","2160.04318031134"
"20140529_Tank5.csv","20140529_Tank5","100.39","2146.77512157313"
"20140602_CRM1.csv","20140602_CRM1","99.31","2215.63933082646"
"20140602_CRM2.csv","20140602_CRM2","99.55","2206.7275300349"
"20140602_Tank4.csv","20140602_Tank4","99.1","2163.97476345637"
"20140602_Tank5.csv","20140602_Tank5","99.14","2182.12651791727"
"20140605_CRM1.csv","20140605_CRM1","100.07","2220.22089199272"
"20140605_CRM2.csv","20140605_CRM2","100","2206.00499689322"
"20140605_Tank4.csv","20140605_Tank4","100.52","2172.27762784778"
"20140605_Tank5.csv","20140605_Tank5","100.65","2171.6711918991"
"20140609_CRM1.csv","20140609_CRM1","100.04","2219.59601229277"
"20140609_CRM2.csv","20140609_CRM2","99.87","2210.69268196426"
"20140609_Tank4.csv","20140609_Tank4","100.59","2181.52665370136"
"20140609_Tank5.csv","20140609_Tank5","100.07","2180.97655699765"
"20140612_CRM1.csv","20140612_CRM1","100.03","2205.52865835322"
"20140612_CRM2.csv","20140612_CRM2","100.08","2194.75887302594"
"20140612_Tank4.csv","20140612_Tank4","99.64","2190.37081727002"
"20140612_Tank5.csv","20140612_Tank5","100.52","2200.87905999549"
"20140613_CRM1.csv","20140613_CRM1","100.71","2208.88310633599"
"20140613_Tank4_Loc1.csv","20140613_Tank4_Loc1","99.44","2200.61779468566"
"20140613_Tank4_Loc2.csv","20140613_Tank4_Loc2","100.02","2183.42038804806"
"20140613_Tank4_Loc3.csv","20140613_Tank4_Loc3","100.5","2192.57934975163"
"20140613_Tank4_Loc4.csv","20140613_Tank4_Loc4","99.84","2215.65020176325"
"20140613_Tank4_Loc5.csv","20140613_Tank4_Loc5","100.11","2191.07907179604"
"20140613_Tank4_Loc6.csv","20140613_Tank4_Loc6","100.12","2189.86330789155"
"20140613_Tank4_Loc7.csv","20140613_Tank4_Loc7","100.4","2193.56233627112"
"20140613_Tank4_Loc8.csv","20140613_Tank4_Loc8","100.6","2186.31195761896"
"20140613_Tank5_Loc1.csv","20140613_Tank5_Loc1","100.06","2239.37832943621"
"20140613_Tank5_Loc2.csv","20140613_Tank5_Loc2","100.41","2183.34812592687"
"20140613_Tank5_Loc3.csv","20140613_Tank5_Loc3","100.33","2189.27450571855"
"20140613_Tank5_Loc4.csv","20140613_Tank5_Loc4","100.74","2037.46860672537"
"20140613_Tank5_Loc5.csv","20140613_Tank5_Loc5","99.98","2193.86952162654"
"20140613_Tank5_Loc6.csv","20140613_Tank5_Loc6","99.73","2187.05703422304"
"20140613_Tank5_Loc7.csv","20140613_Tank5_Loc7","100.31","2183.19124018206"
"20140613_Tank5_Loc8.csv","20140613_Tank5_Loc8","100.3","2209.72153154112"
"20140616_CRM1.csv","20140616_CRM1","100.73","2190.91455023964"
"20140616_CRM2.csv","20140616_CRM2","100.79","2190.89868055553"
"20140616_Tank4.csv","20140616_Tank4","100.33","2200.78635400552"
"20140616_Tank5.csv","20140616_Tank5","99.56","2183.39287193507"
"20140617_ambient_header.csv","20140617_ambient_header","99.61","2208.60392056982"
"20140617_bowl1.csv","20140617_bowl1","99.95","2197.74225174092"
"20140617_bowl10.csv","20140617_bowl10","100.53","2182.45611288444"
"20140617_bowl11.csv","20140617_bowl11","100.34","2175.98546608152"
"20140617_bowl12.csv","20140617_bowl12","100.01","2182.24969686472"
"20140617_bowl14.csv","20140617_bowl14","100.5","2185.47469250194"
"20140617_bowl15.csv","20140617_bowl15","100.12","2185.07133012819"
"20140617_bowl16.csv","20140617_bowl16","100.38","2186.59695787051"
"20140617_bowl2.csv","20140617_bowl2","99.46","2198.17757208334"
"20140617_bowl3.csv","20140617_bowl3","99.39","2191.48297958243"
"20140617_bowl4.csv","20140617_bowl4","99.65","2194.16378830034"
"20140617_bowl5.csv","20140617_bowl5","99.44","2195.95450474723"
"20140617_bowl6.csv","20140617_bowl6","99.28","2195.51916633298"
"20140617_bowl7.csv","20140617_bowl7","99.4","2170.56582680921"
"20140617_bowl8.csv","20140617_bowl8","100.1","2206.86662456736"
"20140617_bowl9.csv","20140617_bowl9","100.6","2192.84024584551"
"20140617_CRM1.csv","20140617_CRM1","100.49","2194.68109113589"
"20140617_high_header.csv","20140617_high_header","100.36","2177.0872813725"
"20140619_ambient_header.csv","20140619_ambient_header","100.05","2209.58445019807"
"20140619_CRM1.csv","20140619_CRM1","99.45","2187.61821402884"
"20140619_CRM2.csv","20140619_CRM2","99.61","2190.29015831767"
"20140619_high_header.csv","20140619_high_header","99.31","2178.32173639353"
"20140619_Tank4.csv","20140619_Tank4","99.29","2179.03141900213"
"20140619_Tank5.csv","20140619_Tank5","99.16","2180.38849086784"
"20140623_CRM1.csv","20140623_CRM1","99.84","2199.34100722923"
"20140623_CRM2.csv","20140623_CRM2","99.65","2210.78576693285"
"20140623_Tank4.csv","20140623_Tank4","99.6","2144.3128528393"
"20140623_Tank5.csv","20140623_Tank5","100.3","2190.35004877929"
"20140626_CRM1.csv","20140626_CRM1","99.48","2205.08533078725"
"20140626_Tank4.csv","20140626_Tank4","100.06","2133.56686302011"
"20140626_Tank5.csv","20140626_Tank5","99.73","2138.6126190197"
"20140630_CRM1.csv","20140630_CRM1","99.53","2249.50015981169"
"20140630_Tank4.csv","20140630_Tank4","100.83","2147.3901125789"
"20140630_Tank5.csv","20140630_Tank5","99.75","2157.59974191131"
"20140703_CRM1.csv","20140703_CRM1","99.94","2196.61825796723"
"20140703_Tank4.csv","20140703_Tank4","100.48","2171.88242436958"
"20140703_Tank5.csv","20140703_Tank5","99.6","2158.02232843858"
"20140707_CRM1.csv","20140707_CRM1","99.69","2190.26498160179"
"20140707_Tank4.csv","20140707_Tank4","99.17","2157.70287993738"
"20140707_Tank5.csv","20140707_Tank5","99.19","2161.53658670825"
"20140710_CRM1.csv","20140710_CRM1","100.4","2225.88627406506"
"20140710_Tank4.csv","20140710_Tank4","100.2","2155.79365546198"
"20140710_Tank5.csv","20140710_Tank5","100.59","2152.40084533267"
"20140714_CRM1.csv","20140714_CRM1","100.33","2209.3119432807"
"20140714_Tank4.csv","20140714_Tank4","99.95","2162.4377199288"
"20140714_Tank5.csv","20140714_Tank5","99.99","2166.19318126741"
"20140717_CRM1.csv","20140717_CRM1","100.11","2214.74695032973"
"20140717_Tank4.csv","20140717_Tank4","99.82","2170.12702131204"
"20140717_Tank5.csv","20140717_Tank5","100.14","2169.19904229261"
"20140722_CRM1.csv","20140722_CRM1","100.81","2208.92387283666"
"20140722_Tank4.csv","20140722_Tank4","99.96","2107.55086225963"
"20140722_Tank5.csv","20140722_Tank5","99.67","2120.65855813345"
"20140724_CRM1.csv","20140724_CRM1","100.01","2212.50000046585"
"20140724_Tank4.csv","20140724_Tank4","100.09","2123.14811676386"
"20140724_Tank5.csv","20140724_Tank5","100.02","2111.0982387783"
"20140728_CRM1.csv","20140728_CRM1","99.44","2221.03149288787"
"20140728_Tank4.csv","20140728_Tank4","99.61","2154.90810692947"
"20140728_Tank5.csv","20140728_Tank5","99.3","2147.40438912709"
"20140731_CRM1.csv","20140731_CRM1","99.45","2222.66813765145"
"20140731_Tank4.csv","20140731_Tank4","99.21","2145.39833052755"
"20140731_Tank5.csv","20140731_Tank5","100.66","2185.25490452732"
"20140804_CRM1.csv","20140804_CRM1","100.2","2230.86482642634"
"20140804_Tank4.csv","20140804_Tank4","99.5","2174.21460112843"
"20140804_Tank5.csv","20140804_Tank5","99.62","2178.29004344599"
"20140815_ambient_header.csv","20140815_ambient_header","98.43","2185.20465346847"
"20140815_bowl1.csv","20140815_bowl1","99.33","2158.71977536542"
"20140815_bowl10.csv","20140815_bowl10","94","2193.86042861002"
"20140815_bowl11.csv","20140815_bowl11","99.74","2159.65204390669"
"20140815_bowl12.csv","20140815_bowl12","98.39","2166.90480491663"
"20140815_bowl14.csv","20140815_bowl14","99.04","2177.78385932737"
"20140815_bowl15.csv","20140815_bowl15","98.5","2161.58628653275"
"20140815_bowl16.csv","20140815_bowl16","98.11","2173.30777847522"
"20140815_bowl2.csv","20140815_bowl2","99.58","2162.76967057659"
"20140815_bowl3.csv","20140815_bowl3","99.34","2134.43407017511"
"20140815_bowl4.csv","20140815_bowl4","99.36","2163.07221872769"
"20140815_bowl5.csv","20140815_bowl5","99.06","2144.53652174387"
"20140815_bowl6.csv","20140815_bowl6","99.97","2158.4588632829"
"20140815_bowl8.csv","20140815_bowl8","99.46","2178.38064288767"
"20140815_bowl9.csv","20140815_bowl9","98.34","2144.10134742317"
"20140815_CRM1.csv","20140815_CRM1","99.82","2198.73854086264"
"20140815_high_header.csv","20140815_high_header","98.38","2164.73500017046"
"20140815_Tank4.csv","20140815_Tank4","99.64","2157.2248450799"
"20140815_Tank5.csv","20140815_Tank5","98.99","2144.83211702254"
"20140828_CRM1.csv","20140828_CRM1","100.37","2202.18655604508"
"20140828_CRM2.csv","20140828_CRM2","99.93","2198.10850549229"
"20140828_Tank4.csv","20140828_Tank4","99.43","2189.55864113777"
"20140828_Tank5.csv","20140828_Tank5","99.91","2172.54730176902"
"20140903_CRM1.csv","20140903_CRM1","100.24","2203.09799359303"
"20140903_CRM2.csv","20140903_CRM2","100.03","2204.80930944192"
"20140903_Tank4.csv","20140903_Tank4","100.26","2174.32323267563"
"20140903_Tank5.csv","20140903_Tank5","99.6","2164.02267037329"
"20140915_CRM1.csv","20140915_CRM1","99.4","2217.14349338247"
"20140915_CRM2.csv","20140915_CRM2","99.65","2207.38194292626"
"20140915_Tank4.csv","20140915_Tank4","99.95","2127.06762337719"
"20140915_Tank5.csv","20140915_Tank5","99.27","2133.98302107138"
"20141014_CRM1.csv","20141014_CRM1","99.8","2205.92306872096"
"20141014_CRM2.csv","20141014_CRM2","100.47","2206.54488092125"
"20141014_Tank4.csv","20141014_Tank4","100.26","2152.83714304483"
"20141014_Tank5.csv","20141014_Tank5","99.13","2137.67725491487"
"20141022_CRM1.csv","20141022_CRM1","100.03","2196.80633200208"
"20141022_CRM2.csv","20141022_CRM2","100.34","2163.45111514361"
"20141022_CRM3.csv","20141022_CRM3","100.68","2199.37166936032"
"20141022_CRM4.csv","20141022_CRM4","100.35","2193.48760220221"
"20141022_Tank4.csv","20141022_Tank4","101.62","2119.57168370786"
"20141022_Tank5.csv","20141022_Tank5","100.18","2137.41725850617"
"20141114_CRM3.csv","20141114_CRM3","99.95","2187.42445474736"
"20141114_Tank4.csv","20141114_Tank4","99.98","2172.78838985668"
"20141114_Tank5.csv","20141114_Tank5","100","2175.79745377658"
"20141201_CRM2.csv","20141201_CRM2","99.66","2194.25432788134"
"20141201_Tank4.csv","20141201_Tank4","99.48","2164.6393138241"
"20141201_Tank5.csv","20141201_Tank5","99.41","2160.83122831906"
"20141218_CRM3.csv","20141218_CRM3","99.56","2212.24618613638"
"20141218_Tank4.csv","20141218_Tank4","99.63","2169.51707914933"
"20141218_Tank5.csv","20141218_Tank5","100","2169.21794966721"
